"Name","Pin","Function","Power, Clock, Debug, System","GPT","SCI","CANFD","SPI","GPT_OPS","IRQ","BUS","SDRAM","ADC1(Digital)","ULPT","GPT_POEGB","SDHI","GPT_POEGD","ADC0(Digital)","GPT_POEGA","ESWM_GMII/MII","ESWM_RGMII","CMPOUT","ESC","ESWM_RMII","USB FS","ADC(Digital)","GPT_POEGC","AGT","CLKOUT","JTAG/SWD","ETHPHYCLK","CAC","DSMIF","RTC","OSPI","IIC","ADC","I3C","ACMPHS","DAC","Symbolic Name","Drive Capacity","IRQ","Mode","Output type","Pull up","Port Capabilities","Pin Function Comment","Direction","Remarks","Pin Number Comment",
"P302","A5","","","GTIOC4A","RXD6","","","GTOUUP","IRQ5","D0","DQ0","","ULPTO0-DS","","SD0DAT1","","","","","","","","","","","","","","","","","","","","","","","","","","","","Disabled","","","BUS: D0
GPT4: GTIOC4A
GPT_OPS: GTOUUP
IRQ: IRQ5
SCI6: RXD6
SDHI0: SD0DAT1
SDRAM: DQ0
ULPT0: ULPTO0-DS","","None","","",
"P303","B6","","","GTIOC7B","SCK6/DE6","","","","IRQ29-DS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Disabled","","","GPT7: GTIOC7B
IRQ: IRQ29-DS
SCI6: DE6
SCI6: SCK6","","None","","",
"P304","D10","ESWM_GMII/MII1_ET1_TXD3","TDATA3","GTIOC7A","","","","GTOVLO","IRQ9","","","","ULPTO1","","SD0DAT0","","","","ET1_TXD3","RGMII1_TXD3","","CAT1_ETXD3","","","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","ESC1: CAT1_ETXD3
ESWM_GMII/MII1: ET1_TXD3
ESWM_RGMII1: RGMII1_TXD3
GPT7: GTIOC7A
GPT_OPS: GTOVLO
IRQ: IRQ9
SDHI0: SD0DAT0
TRACE: TDATA3
ULPT1: ULPTO1","","O","","",
"P305","C10","ESWM_GMII/MII1_ET1_TXD2","TDATA2","GTCPPO12","","","","GTOVUP","IRQ8","","","","ULPTEE1","","SD0WP","","","","ET1_TXD2","RGMII1_TXD2","","CAT1_ETXD2","","","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","ESC1: CAT1_ETXD2
ESWM_GMII/MII1: ET1_TXD2
ESWM_RGMII1: RGMII1_TXD2
GPT12: GTCPPO12
GPT_OPS: GTOVUP
IRQ: IRQ8
SDHI0: SD0WP
TRACE: TDATA2
ULPT1: ULPTEE1","","O","","",
"P306","D11","ESWM_GMII/MII1_ET1_TXD1","TDATA1","GTCPPO11","","","","GTIW","IRQ28-DS","","","","ULPTEVI1","","SD0CD","","","","ET1_TXD1","RGMII1_TXD1","","CAT1_ETXD1","RMII1_TXD1","","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","ESC1: CAT1_ETXD1
ESWM_GMII/MII1: ET1_TXD1
ESWM_RGMII1: RGMII1_TXD1
ESWM_RMII1: RMII1_TXD1
GPT11: GTCPPO11
GPT_OPS: GTIW
IRQ: IRQ28-DS
SDHI0: SD0CD
TRACE: TDATA1
ULPT1: ULPTEVI1","","O","","",
"P307","C11","ESWM_GMII/MII1_ET1_TXD0","TDATA0","GTCPPO10","DE6/CTS_RTS6","","","GTIV","IRQ27-DS","","","","ULPTOA1","","SD0CMD","","","","ET1_TXD0","RGMII1_TXD0","","CAT1_ETXD0","RMII1_TXD0","","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","ESC1: CAT1_ETXD0
ESWM_GMII/MII1: ET1_TXD0
ESWM_RGMII1: RGMII1_TXD0
ESWM_RMII1: RMII1_TXD0
GPT10: GTCPPO10
GPT_OPS: GTIV
IRQ: IRQ27-DS
SCI6: CTS_RTS6
SCI6: DE6
SDHI0: SD0CMD
TRACE: TDATA0
ULPT1: ULPTOA1","","O","","",
"P308","C9","ESWM_GMII/MII1_ET1_TX_ER","TCLK","GTCPPO9","CTS3","","","GTIU","IRQ26-DS","","","","ULPTOB1","","SD0CLK","","","","ET1_TX_ER","","","","","","","","","","","ETHPHYCLK","","","","","","","","","","","L","None","Peripheral mode","","","ESWM_GMII/MII1: ET1_TX_ER
ETHPHYCLK: ETHPHYCLK
GPT9: GTCPPO9
GPT_OPS: GTIU
IRQ: IRQ26-DS
SCI3: CTS3
SDHI0: SD0CLK
TRACE: TCLK
ULPT1: ULPTOB1","","O","","",
"P309","A12","GPIO","","GTCPPO8","CTS9","","","","IRQ25-DS","","","","","","","","","","ET1_GTX_CLK","RGMII1_TXC","VCOUT","","","","","","","","","","","","","","","","","","","","L","","Output mode (Initial Low)","","","CMPOUT: VCOUT
ESWM_GMII/MII1: ET1_GTX_CLK
ESWM_RGMII1: RGMII1_TXC
GPT8: GTCPPO8
IRQ: IRQ25-DS
SCI9: CTS9","","IO","","",
"P310","E10","ESWM_GMII/MII1_ET1_TX_EN","","GTCPPO7","TXD3","","","","IRQ24-DS","","","","","","","","","","ET1_TX_EN","RGMII1_TX_CTL","","CAT1_TX_EN","RMII1_TX_EN","","","","AGTEE1","","","","","","","","","","","","","","L","None","Peripheral mode","","","AGT1: AGTEE1
ESC1: CAT1_TX_EN
ESWM_GMII/MII1: ET1_TX_EN
ESWM_RGMII1: RGMII1_TX_CTL
ESWM_RMII1: RMII1_TX_EN
GPT7: GTCPPO7
IRQ: IRQ24-DS
SCI3: TXD3","","O","","",
"P311","B12","ESWM_GMII/MII1_ET1_TX_CLK","","GTCPPO6/GTADSM1","SCK3/DE3","CRX0","","","IRQ23-DS","","","","","","","","","","ET1_TX_CLK","","","CAT1_TX_CLK","","","","","AGTOB1","","","","","","","","","","","","","","L","None","Peripheral mode","","","AGT1: AGTOB1
CANFD0: CRX0
ESC1: CAT1_TX_CLK
ESWM_GMII/MII1: ET1_TX_CLK
GPT: GTADSM1
GPT6: GTCPPO6
IRQ: IRQ23-DS
SCI3: DE3
SCI3: SCK3","","I","","",
"P312","C13","ESWM_GMII/MII1_ET1_RX_ER","","GTCPPO5/GTADSM0","CTS_RTS3/DE3","CTX0","","","IRQ22-DS","","","","","","","","","","ET1_RX_ER","","","CAT1_RX_ER","RMII1_RX_ER","","","","AGTOA1","","","","","","","","","","","","","","L","None","Peripheral mode","","","AGT1: AGTOA1
CANFD0: CTX0
ESC1: CAT1_RX_ER
ESWM_GMII/MII1: ET1_RX_ER
ESWM_RMII1: RMII1_RX_ER
GPT: GTADSM0
GPT5: GTCPPO5
IRQ: IRQ22-DS
SCI3: CTS_RTS3
SCI3: DE3","","I","","",
"P313","T3","GPIO","","","TXD3","","MISO0","","IRQ27","","","","","","SD1DAT0","","","","","","","","","USB_ID","","","","","","","","","","","","","","","","","","None","Input mode","","","IRQ: IRQ27
SCI3: TXD3
SDHI1: SD1DAT0
SPI0: MISO0
USB FS: USB_ID","","IO","","",
"P314","U3","","","","RXD3","","SSLA2","","IRQ28","","","","","","SD1DAT1","","ADTRG0","","","","","","","","","","","","","","","","","","","","","","","","","","Disabled","","","ADC0(Digital): ADTRG0
IRQ: IRQ28
SCI3: RXD3
SDHI1: SD1DAT1
SPI0: SSLA2","","None","","",
"P315","R2","SPI0_SSLA3","","","SCK3/DE3","","SSLA3","","IRQ29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","IRQ: IRQ29
SCI3: DE3
SCI3: SCK3
SPI0: SSLA3","","O","","",
"P400","P17","SCI1_TXD1","","GTIOC6A","TXD1","","","","IRQ0","","","ADTRG1","","","SD1CLK","","","","","","","","","","","","AGTIO1","","","","","","","","","","I3C_SCL0","","","","L","None","Peripheral mode","","","ADC1(Digital): ADTRG1
AGT1: AGTIO1
GPT6: GTIOC6A
I3C0: I3C_SCL0
IRQ: IRQ0
SCI1: TXD1
SDHI1: SD1CLK","","O","","",
"P401","N17","SCI1_RXD1","","GTIOC6B","RXD1","CTX0","","","IRQ5-DS","","","","","","SD1CMD","","","GTETRGA","","","","","","","","","","","","","","","","","","","I3C_SDA0","","","","L","None","Peripheral mode","","","CANFD0: CTX0
GPT6: GTIOC6B
GPT_POEGA: GTETRGA
I3C0: I3C_SDA0
IRQ: IRQ5-DS
SCI1: RXD1
SDHI1: SD1CMD","","I","","",
"P402","L14","","","","DE1/SCK1","CRX0","","","IRQ4-DS","","","","","","SD1DAT0","","","","ET0_LINKSTA","ET0_LINKSTA","","CAT0_LINKSTA","ET0_LINKSTA","","","","","","","","CACREF","","RTCIC0","","","","","","","","","","Disabled","","","CAC: CACREF
CANFD0: CRX0
ESC0: CAT0_LINKSTA
ESWM_GMII/MII: ET0_LINKSTA
ESWM_RGMII0: ET0_LINKSTA
ESWM_RMII0: ET0_LINKSTA
IRQ: IRQ4-DS
RTC: RTCIC0
SCI1: DE1
SCI1: SCK1
SDHI1: SD1DAT0","","None","","",
"P403","H13","","","GTIOC3A","DE1/CTS_RTS1","","","","IRQ14-DS","","","","","","SD1DAT1","","AD0FLAG1","","ET1_WOL","ET1_WOL","","CATI2CCLK","ET1_WOL","","","","","","","","","","RTCIC1","","","","","","","","","","Disabled","","","ADC0(Digital): AD0FLAG1
ESC: CATI2CCLK
ESWM_GMII/MII: ET1_WOL
ESWM_RGMII1: ET1_WOL
ESWM_RMII1: ET1_WOL
GPT3: GTIOC3A
IRQ: IRQ14-DS
RTC: RTCIC1
SCI1: CTS_RTS1
SCI1: DE1
SDHI1: SD1DAT1","","None","","",
"P404","J13","","","GTIOC3B","CTS1","","","","IRQ15-DS","","","AD1FLAG1","","","SD1DAT2","","","","ET0_WOL","ET0_WOL","","CATI2CDATA","ET0_WOL","","","","","","","","","DSM0DAT0","RTCIC2","","","","","","","","","","Disabled","","","ADC1(Digital): AD1FLAG1
DSMIF0: DSM0DAT0
ESC: CATI2CDATA
ESWM_GMII/MII: ET0_WOL
ESWM_RGMII0: ET0_WOL
ESWM_RMII0: ET0_WOL
GPT3: GTIOC3B
IRQ: IRQ15-DS
RTC: RTCIC2
SCI1: CTS1
SDHI1: SD1DAT2","","None","","",
"P405","G12","ESWM_GMII/MII0_ET0_RX_DV","","GTIOC1A","SCK2/DE2","","","","IRQ30","","","","","","SD1DAT3","","","","ET0_RX_DV","RGMII0_RX_CTL","","CAT0_RX_DV","RMII0_CRS_DV","","","","AGTIO1","","","","","DSM0DAT1","","","","","","","","","L","None","Peripheral mode","","","AGT1: AGTIO1
DSMIF0: DSM0DAT1
ESC0: CAT0_RX_DV
ESWM_GMII/MII0: ET0_RX_DV
ESWM_RGMII0: RGMII0_RX_CTL
ESWM_RMII0: RMII0_CRS_DV
GPT1: GTIOC1A
IRQ: IRQ30
SCI2: DE2
SCI2: SCK2
SDHI1: SD1DAT3","","I","","",
"P406","F14","ESWM_GMII/MII0_ET0_RXD3","","GTIOC1B","TXD2","","SSLA3","","IRQ31","","","","","","SD1CD","","","","ET0_RXD3","RGMII0_RXD3","","CAT0_ERXD3","","","","","","","","","","DSM0DAT2","","","","","","","","","L","None","Peripheral mode","","","DSMIF0: DSM0DAT2
ESC0: CAT0_ERXD3
ESWM_GMII/MII0: ET0_RXD3
ESWM_RGMII0: RGMII0_RXD3
GPT1: GTIOC1B
IRQ: IRQ31
SCI2: TXD2
SDHI1: SD1CD
SPI0: SSLA3","","I","","",
"P407","R17","USB FS_USB_VBUS","","GTIOC10B","SCK1/DE1","","","","IRQ22","CS6","","","","","","","ADTRG0","","GPTP_PTPOUT3","GPTP_PTPOUT3","","CATSYNC1","GPTP_PTPOUT3","USB_VBUS","","","AGTIO0","","","","","","RTCOUT","","SDA0","","","","","","L","None","Peripheral mode","","","ADC0(Digital): ADTRG0
AGT0: AGTIO0
BUS: CS6
ESC: CATSYNC1
ESWM_GMII/MII: GPTP_PTPOUT3
ESWM_RGMII: GPTP_PTPOUT3
ESWM_RMII: GPTP_PTPOUT3
GPT10: GTIOC10B
IIC0: SDA0
IRQ: IRQ22
RTC: RTCOUT
SCI1: DE1
SCI1: SCK1
USB FS: USB_VBUS","","IO","","",
"P408","M15","USB FS_USB_VBUSEN","","GTIOC10A","RXD3","","","GTOWLO","IRQ7","A17","","","ULPTOB0","","","","","","GPTP_PTPOUT2","GPTP_PTPOUT2","","CATRESETOUT","GPTP_PTPOUT2","USB_VBUSEN","ADSYNC","","","","","","","","","","SCL0","","","","","","L","None","Peripheral mode","","","ADC(Digital): ADSYNC
BUS: A17
ESC: CATRESETOUT
ESWM_GMII/MII: GPTP_PTPOUT2
ESWM_RGMII: GPTP_PTPOUT2
ESWM_RMII: GPTP_PTPOUT2
GPT10: GTIOC10A
GPT_OPS: GTOWLO
IIC0: SCL0
IRQ: IRQ7
SCI3: RXD3
ULPT0: ULPTOB0
USB FS: USB_VBUSEN","","IO","","",
"P409","R16","USB FS_USB_OVRCURA-DS","","","TXD3","","","GTOWUP","IRQ6","A18","","ADST1","ULPTOA0","","","","","","GPTP0_CAPTURE","GPTP0_CAPTURE","","CATI2CDATA","GPTP0_CAPTURE","USB_OVRCURA-DS","","","","","","","","","","","SDA0","","","","","","L","None","Peripheral mode","","","ADC1(Digital): ADST1
BUS: A18
ESC: CATI2CDATA
ESWM_GMII/MII: GPTP0_CAPTURE
ESWM_RGMII0: GPTP0_CAPTURE
ESWM_RMII0: GPTP0_CAPTURE
GPT_OPS: GTOWUP
IIC0: SDA0
IRQ: IRQ6
SCI3: TXD3
ULPT0: ULPTOA0
USB FS: USB_OVRCURA-DS","","IO","","",
"P410","K13","GPIO","","GTIOC9B","DE3/SCK3","","","GTOVLO","IRQ5","A19","","","","","","","ADST0","","GPTP0_MATCH","GPTP0_MATCH","","CATI2CCLK","GPTP0_MATCH","USB_OVRCURB-DS","","","AGTOB1","","","","","","","","SCL0","","","","","","L","","Output mode (Initial Low)","","","ADC0(Digital): ADST0
AGT1: AGTOB1
BUS: A19
ESC: CATI2CCLK
ESWM_GMII/MII: GPTP0_MATCH
ESWM_RGMII0: GPTP0_MATCH
ESWM_RMII0: GPTP0_MATCH
GPT9: GTIOC9B
GPT_OPS: GTOVLO
IIC0: SCL0
IRQ: IRQ5
SCI3: DE3
SCI3: SCK3
USB FS: USB_OVRCURB-DS","","IO","","",
"P411","M14","GPIO","","GTIOC9A","DE3/CTS_RTS3","","","GTOVUP","IRQ4","A20","","","","","","","","","GPTP_PTPOUT1","GPTP_PTPOUT1","","","GPTP_PTPOUT1","USB_ID","","","AGTOA1","","","","CACREF","","","","","","","","","","","None","Input mode","","","AGT1: AGTOA1
BUS: A20
CAC: CACREF
ESWM_GMII/MII: GPTP_PTPOUT1
ESWM_RGMII: GPTP_PTPOUT1
ESWM_RMII: GPTP_PTPOUT1
GPT9: GTIOC9A
GPT_OPS: GTOVUP
IRQ: IRQ4
SCI3: CTS_RTS3
SCI3: DE3
USB FS: USB_ID","","IO","","",
"P412","M12","GPIO","","GTCPPO8","CTS3","","","GTOULO","IRQ20-DS","A21","","","","","","","","","GPTP_PTPOUT0","GPTP_PTPOUT0","","","GPTP_PTPOUT0","USB_EXICEN","","","AGTEE1","","","","","","","","","","","","","","L","","Output mode (Initial Low)","","","AGT1: AGTEE1
BUS: A21
ESWM_GMII/MII: GPTP_PTPOUT0
ESWM_RGMII: GPTP_PTPOUT0
ESWM_RMII: GPTP_PTPOUT0
GPT8: GTCPPO8
GPT_OPS: GTOULO
IRQ: IRQ20-DS
SCI3: CTS3
USB FS: USB_EXICEN","","IO","","",
"P413","P14","GPIO","","GTCPPO7","","","","GTOUUP","IRQ18","A22","","","ULPTEE1","","","","","","ET_TAS_STA3","ET_TAS_STA3","","","ET_TAS_STA3","","","","","","","","","","","","","","","","","","L","","Output mode (Initial Low)","","","BUS: A22
ESWM_GMII/MII: ET_TAS_STA3
ESWM_RGMII: ET_TAS_STA3
ESWM_RMII: ET_TAS_STA3
GPT7: GTCPPO7
GPT_OPS: GTOUUP
IRQ: IRQ18
ULPT1: ULPTEE1","","IO","","",
"P414","L13","SCI4_RXD4","","GTIOC0B","RXD4","CRX1","SSLB0","","IRQ9","A23","","","","","","","","","ET1_MDIO","ET1_MDIO","","CATLATCH1","ET1_MDIO","","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","BUS: A23
CANFD1: CRX1
ESC: CATLATCH1
ESWM_GMII/MII: ET1_MDIO
ESWM_RGMII1: ET1_MDIO
ESWM_RMII1: ET1_MDIO
GPT0: GTIOC0B
IRQ: IRQ9
SCI4: RXD4
SPI1: SSLB0","","I","","",
"P415","R15","SCI4_TXD4","","GTIOC0A","TXD4","CTX1","RSPCK1","","IRQ8","WAIT","","","","","","","","","ET1_MDC","ET1_MDC","","CATLATCH0","ET1_MDC","","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","BUS: WAIT
CANFD1: CTX1
ESC: CATLATCH0
ESWM_GMII/MII: ET1_MDC
ESWM_RGMII1: ET1_MDC
ESWM_RMII1: ET1_MDC
GPT0: GTIOC0A
IRQ: IRQ8
SCI4: TXD4
SPI1: RSPCK1","","O","","",
"P500","U7","ADC0_AN021","","GTIOC11B","RXD8","","","","IRQ24","","","","","","SD1DAT5","","","","","","","","","USB_VBUSEN","","","","","","","CACREF","","","","","AN021/AN021","","","","","","","Analog mode","","","ADC0: AN021
ADC1: AN021
CAC: CACREF
GPT11: GTIOC11B
IRQ: IRQ24
SCI8: RXD8
SDHI1: SD1DAT5
USB FS: USB_VBUSEN","","I","","",
"P501","R8","ADC0_AN020","","GTIOC12A","TXD8","","","","IRQ25","","","","","","SD1DAT6","","","","","","","","","USB_OVRCURA","","","","","","","","","","","","AN020/AN020","","","","","","","Analog mode","","","ADC0: AN020
ADC1: AN020
GPT12: GTIOC12A
IRQ: IRQ25
SCI8: TXD8
SDHI1: SD1DAT6
USB FS: USB_OVRCURA","","I","","",
"P502","T7","ADC0_AN019","","GTIOC12B","SCK8/DE8","","","","IRQ26","","","","","","SD1DAT7","","","","","","","","","USB_OVRCURB","","","","","","","","","","","","AN019/AN019","","","","","","","Analog mode","","","ADC0: AN019
ADC1: AN019
GPT12: GTIOC12B
IRQ: IRQ26
SCI8: DE8
SCI8: SCK8
SDHI1: SD1DAT7
USB FS: USB_OVRCURB","","I","","",
"P503","H2","GPIO","","GTCPPO6","","","","GTOUUP","IRQ6","A6","A6","","","","SD0CD","","","","","","","","","","","","","","","","","","","","","","","","","","","None","Input mode","","","BUS: A6
GPT6: GTCPPO6
GPT_OPS: GTOUUP
IRQ: IRQ6
SDHI0: SD0CD
SDRAM: A6","","IO","","",
"P504","H1","GPIO","","GTCPPO1","","","","GTOULO","IRQ7","A7","A7","","","","SD0WP","","","","","","","","","","","","","","","","","","","","","","","","","","","None","Input mode","","","BUS: A7
GPT1: GTCPPO1
GPT_OPS: GTOULO
IRQ: IRQ7
SDHI0: SD0WP
SDRAM: A7","","IO","","",
"P505","H3","GPIO","","GTCPPO2","","","","GTOWUP","IRQ8","A8","A8","","","","SD0CLK","","","","","","","","","","","","","","","","","","","","","","","","","","L","","Output mode (Initial Low)","","","BUS: A8
GPT2: GTCPPO2
GPT_OPS: GTOWUP
IRQ: IRQ8
SDHI0: SD0CLK
SDRAM: A8","","IO","","",
"P506","J1","","","GTCPPO3","","","","GTOWLO","IRQ9","A9","A9","","","","SD0CMD","","","","","","","","","","","","","","","","","","","","","","","","","","","","Disabled","","","BUS: A9
GPT3: GTCPPO3
GPT_OPS: GTOWLO
IRQ: IRQ9
SDHI0: SD0CMD
SDRAM: A9","","None","","",
"P507","J2","GPT0_GTIOC0A","","GTADSM0/GTIOC0A","DE7/CTS_RTS7","","","","IRQ10","A10","A10","","","","","","","","ET_TAS_STA0","ET_TAS_STA0","","","ET_TAS_STA0","","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","BUS: A10
ESWM_GMII/MII: ET_TAS_STA0
ESWM_RGMII: ET_TAS_STA0
ESWM_RMII: ET_TAS_STA0
GPT: GTADSM0
GPT0: GTIOC0A
IRQ: IRQ10
SCI7: CTS_RTS7
SCI7: DE7
SDRAM: A10","","IO","","",
"P508","J3","GPT0_GTIOC0B","","GTADSM1/GTIOC0B","CTS5","","","","IRQ1","A11","A11","","","","","","","","ET_TAS_STA1","ET_TAS_STA1","","","ET_TAS_STA1","","","","","","","","","","","","","","","","","","L","None","Peripheral mode","","","BUS: A11
ESWM_GMII/MII: ET_TAS_STA1
ESWM_RGMII: ET_TAS_STA1
ESWM_RMII: ET_TAS_STA1
GPT: GTADSM1
GPT0: GTIOC0B
IRQ: IRQ1
SCI5: CTS5
SDRAM: A11","","IO","","",
"P509","J4","GPIO","","GTIOC1A","DE5/CTS_RTS5","","","","IRQ2","A12","A12","","ULPTEVI1","","","","","","ET_TAS_STA2","ET_TAS_STA2","","","ET_TAS_STA2","","","","","","","","","","","","","","","","","","L","","Output mode (Initial High)","","","BUS: A12
ESWM_GMII/MII: ET_TAS_STA2
ESWM_RGMII: ET_TAS_STA2
ESWM_RMII: ET_TAS_STA2
GPT1: GTIOC1A
IRQ: IRQ2
SCI5: CTS_RTS5
SCI5: DE5
SDRAM: A12
ULPT1: ULPTEVI1","","IO","","",
"P510","K3","GPIO","","GTIOC1B","RXD5","","","","IRQ3","A13","A13","","ULPTEVI0","","","","","","ET_TAS_STA3","ET_TAS_STA3","","","ET_TAS_STA3","","","","","","","","","","","","","","","","","","L","","Output mode (Initial High)","","","BUS: A13
ESWM_GMII/MII: ET_TAS_STA3
ESWM_RGMII: ET_TAS_STA3
ESWM_RMII: ET_TAS_STA3
GPT1: GTIOC1B
IRQ: IRQ3
SCI5: RXD5
SDRAM: A13
ULPT0: ULPTEVI0","","IO","","",
"P511","U15","","","GTIOC0B","DE8/CTS_RTS8","CRX1","","","IRQ15","","","","","","","","","","ET1_LINKSTA","ET1_LINKSTA","","CAT1_LINKSTA","ET1_LINKSTA","","","","","","","","","","","","SDA1","","","","","","","","Disabled","","","CANFD1: CRX1
ESC1: CAT1_LINKSTA
ESWM_GMII/MII: ET1_LINKSTA
ESWM_RGMII1: ET1_LINKSTA
ESWM_RMII1: ET1_LINKSTA
GPT0: GTIOC0B
IIC1: SDA1
IRQ: IRQ15
SCI8: CTS_RTS8
SCI8: DE8","","None","","",
"P512","P13","GPIO","","GTIOC0A","CTS8","CTX1","","","IRQ14","","","","","","","","","","ET1_INT","ET1_INT","","","ET1_INT","","","","","","","","","","","","SCL1","","","","","","L","","Output mode (Initial Low)","","","CANFD1: CTX1
ESWM_GMII/MII: ET1_INT
ESWM_RGMII1: ET1_INT
ESWM_RMII1: ET1_INT
GPT0: GTIOC0A
IIC1: SCL1
IRQ: IRQ14
SCI8: CTS8","","IO","","",
"P513","R13","ADC0_AN016","","GTIOC13B","DE8/SCK8","","","","IRQ31","","","","","","","","","","ET0_INT","ET0_INT","","","ET0_INT","","","","","","","","","","","","","AN016/AN016","","IVCMP0","","","","","Analog mode","","","ACMPHS: IVCMP0
ADC0: AN016
ADC1: AN016
ESWM_GMII/MII: ET0_INT
ESWM_RGMII0: ET0_INT
ESWM_RMII0: ET0_INT
GPT13: GTIOC13B
IRQ: IRQ31
SCI8: DE8
SCI8: SCK8","","I","","",
"P514","R14","IIC2_SDA2","","GTIOC13B","SCK4/DE4","","","","IRQ13","","","","","","","","","","ET_TAS_STA1","ET_TAS_STA1","","","ET_TAS_STA1","","","","","","","","","","","","SDA2","","","","","","M","None","Peripheral mode","","","ESWM_GMII/MII: ET_TAS_STA1
ESWM_RGMII: ET_TAS_STA1
ESWM_RMII: ET_TAS_STA1
GPT13: GTIOC13B
IIC2: SDA2
IRQ: IRQ13
SCI4: DE4
SCI4: SCK4","","IO","","",
"P515","P15","IIC2_SCL2","","GTIOC13A","CTS_RTS4/DE4","","","","IRQ12","","","","","","","","","","ET_TAS_STA0","ET_TAS_STA0","","","ET_TAS_STA0","","","","","","","","","","","","SCL2","","","","","","M","None","Peripheral mode","","","ESWM_GMII/MII: ET_TAS_STA0
ESWM_RGMII: ET_TAS_STA0
ESWM_RMII: ET_TAS_STA0
GPT13: GTIOC13A
IIC2: SCL2
IRQ: IRQ12
SCI4: CTS_RTS4
SCI4: DE4","","IO","","",
"P600","P3","GPT6_GTIOC6B","","GTIOC6B","","","","","IRQ30","","","","ULPTEVI1-DS","","","","","","ET1_WOL","ET1_WOL","","","ET1_WOL","","","","","","","","CACREF","","","OM_0_RSTO1","","","","","","","L","None","Peripheral mode","","","CAC: CACREF
ESWM_GMII/MII: ET1_WOL
ESWM_RGMII1: ET1_WOL
ESWM_RMII1: ET1_WOL
GPT6: GTIOC6B
IRQ: IRQ30
OSPI0: OM_0_RSTO1
ULPT1: ULPTEVI1-DS","","IO","","",
"P601","P4","GPT6_GTIOC6A","","GTIOC6A","SCK0/DE0","","","","IRQ29","","","","ULPTEVI0","","","","","","","","","","","","","","","","","","","","RTCOUT","OM_0_WP1","","","","","","","L","None","Peripheral mode","","","GPT6: GTIOC6A
IRQ: IRQ29
OSPI0: OM_0_WP1
RTC: RTCOUT
SCI0: DE0
SCI0: SCK0
ULPT0: ULPTEVI0","","IO","","",
"P602","P2","GPT7_GTIOC7B","","GTIOC7B","RXD0","","","","IRQ28","","","","ULPTEE0","","","","","","","","","","","","","","","","","","","","","OM_1_SCLKN","","","","","","","L","None","Peripheral mode","","","GPT7: GTIOC7B
IRQ: IRQ28
OSPI1: OM_1_SCLKN
SCI0: RXD0
ULPT0: ULPTEE0","","IO","","",
"P603","P1","GPT7_GTIOC7A","","GTIOC7A","TXD0","","","","IRQ27","","","","ULPTO0","","","","","","","","","","","","","","","","","","","","","OM_1_SCLK","","","","","","","L","None","Peripheral mode","","","GPT7: GTIOC7A
IRQ: IRQ27
OSPI1: OM_1_SCLK
SCI0: TXD0
ULPT0: ULPTO0","","IO","","",
"P604","N2","GPT8_GTIOC8B","","GTIOC8B","CTS_RTS0/DE0","","","","IRQ26","","","","","","","","","","","","","","","","","","","","","","","","","OM_1_SIO7","","","","","","","L","None","Peripheral mode","","","GPT8: GTIOC8B
IRQ: IRQ26
OSPI1: OM_1_SIO7
SCI0: CTS_RTS0
SCI0: DE0","","IO","","",
"P605","N1","GPT8_GTIOC8A","","GTIOC8A","CTS0","","","","IRQ25","","","","","","","","","","","","","","","","","","","","","","","","","OM_1_SIO1","","","","","","","L","None","Peripheral mode","","","GPT8: GTIOC8A
IRQ: IRQ25
OSPI1: OM_1_SIO1
SCI0: CTS0","","IO","","",
"P606","N3","","","","","","","","IRQ24","BC3/WR3","","","","","","","","","","","","","","","","","","","","","","","","OM_1_SIO6","","","","","","","","","Disabled","","","BUS: BC3
BUS: WR3
IRQ: IRQ24
OSPI1: OM_1_SIO6","","None","","",
"P607","M2","","","","","","","","IRQ23","D31","DQ31","","","","","","","","","","","","","","","","","","","","","","","OM_1_DQS","","","","","","","","","Disabled","","","BUS: D31
IRQ: IRQ23
OSPI1: OM_1_DQS
SDRAM: DQ31","","None","","",
"P608","K2","","","GTCPPO4","TXD5","","","GTOWUP","IRQ22","A14","A14","","","","","","","","","","","","","","","","","","","","CACREF","","","","","","","","","","","","Disabled","","","BUS: A14
CAC: CACREF
GPT4: GTCPPO4
GPT_OPS: GTOWUP
IRQ: IRQ22
SCI5: TXD5
SDRAM: A14","","None","","",
"P609","A1","SPI0_MISO0","","GTIOC5B","TXD0","CTX1","MISO0","GTIU","IRQ29","D7","DQ7","AD1FLAG1","ULPTOA1-DS","","","","","","","","","","","","","","","","","","","","","","","","","","","","M","None","Peripheral mode","","","ADC1(Digital): AD1FLAG1
BUS: D7
CANFD1: CTX1
GPT5: GTIOC5B
GPT_OPS: GTIU
IRQ: IRQ29
SCI0: TXD0
SDRAM: DQ7
SPI0: MISO0
ULPT1: ULPTOA1-DS","","IO","","",
